"Year","CLUE_Areas","Population_CO2_tonnes","Energy_CO2_tonnes","Trees_CO2_absorbed_tonnes","Total_CO2offset_tonnes"
2019,"Port Melbourne",7274.93206572,33.6241419966389,4.95344092213591,7303.6027667945
2020,"Port Melbourne",7323.33966804,32.8301568162953,4.95344092213591,7351.21638393416
2021,"Port Melbourne",7193.491465248,33.5755119508333,4.95344092213591,7222.1135362767
2013,"South Yarra",2555.968233456,7.33875051385806,122.406788380987,2440.90019558887
2014,"South Yarra",2556.160240392,8.552684778337,122.406788380987,2442.30613678935
2011,"South Yarra",2578.554805464,4.66708261994297,122.406788380987,2460.81509970296
2012,"South Yarra",2563.041269448,6.15253703910244,122.406788380987,2446.78701810612
2017,"South Yarra",2723.697999792,11.6291972707483,122.406788380987,2612.92040868176
2018,"South Yarra",2770.661647512,11.8228768709475,122.406788380987,2660.07773600196
2015,"South Yarra",2558.840532336,10.0288424708969,122.406788380987,2446.46258642591
2016,"South Yarra",2578.5126576,11.6579747827743,122.406788380987,2467.76384400179
2021,"South Yarra",2589.500761848,12.0978294917763,122.406788380987,2479.19180295879
2019,"South Yarra",2809.648421712,11.8631434593461,122.406788380987,2699.10477679036
2020,"South Yarra",2766.70287036,11.7080383117775,122.406788380987,2656.00412029079
2013,"Southbank",6617.874964536,85.9174909795032,8.36570097149568,6695.42675454401
2012,"Southbank",5704.209179064,84.8607848023449,8.36570097149568,5780.70426289485
2017,"Southbank",8909.42623164,97.5497145156072,8.36570097149568,8998.61024518411
2014,"Southbank",7188.883298784,87.9434937365031,8.36570097149568,7268.46109154901
2011,"Southbank",5059.78082676,79.9797558618858,8.36570097149568,5131.39488165039
2016,"Southbank",8397.154848456,98.6409537283577,8.36570097149568,8487.43010121286
2021,"Southbank",9552.3840918,98.3990953408737,8.36570097149568,9642.41748616938
2018,"Southbank",9556.253890128,98.3596612744638,8.36570097149568,9646.24785043097
2015,"Southbank",7708.692905496,92.7405605880848,8.36570097149568,7793.06776511259
2020,"Southbank",10270.308952728,95.9162558573418,8.36570097149568,10357.8595076138
2019,"Southbank",10074.624225336,97.9207174958557,8.36570097149568,10164.1792418604
2012,"West Melbourne (Industrial)",0,22.9203457744192,7.36172204045491,15.5586237339643
2013,"West Melbourne (Industrial)",0,23.3639357888739,7.36172204045491,16.002213748419
2015,"West Melbourne (Industrial)",0,25.5197718443617,7.36172204045491,18.1580498039068
2016,"West Melbourne (Industrial)",1.292534496,27.2846888880656,7.36172204045491,21.2155013436107
2017,"West Melbourne (Industrial)",1.292534496,27.5353700635198,7.36172204045491,21.4661825190649
2014,"West Melbourne (Industrial)",0,24.0632600622457,7.36172204045491,16.7015380217908
2011,"West Melbourne (Industrial)",0,21.4406988659374,7.36172204045491,14.0789768254825
2020,"West Melbourne (Industrial)",0,28.5829472878012,7.36172204045491,21.2212252473463
2021,"West Melbourne (Industrial)",0,29.8010795283214,7.36172204045491,22.4393574878665
2018,"West Melbourne (Industrial)",1.223849088,28.2995980742096,7.36172204045491,22.1617251217547
2019,"West Melbourne (Industrial)",1.086478272,28.686325709701,7.36172204045491,22.4110819412461
2015,"West Melbourne (Residential)",2154.63783348,25.0071302786305,4.93344697592926,2174.7115167827
2012,"West Melbourne (Residential)",1684.523680488,20.1050734054652,4.93344697592926,1699.69530691754
2013,"West Melbourne (Residential)",1841.686821216,21.3744410212816,4.93344697592926,1858.12781526135
2018,"West Melbourne (Residential)",2722.435124904,28.3511113273786,4.93344697592926,2745.85278925545
2019,"West Melbourne (Residential)",2929.485726288,28.6571055625394,4.93344697592926,2953.20938487461
2016,"West Melbourne (Residential)",2325.352293,27.5083102635304,4.93344697592926,2347.9271562876
2017,"West Melbourne (Residential)",2507.77449252,27.6698147226417,4.93344697592926,2530.51086026671
2014,"West Melbourne (Residential)",1997.830608048,22.8343721419455,4.93344697592926,2015.73153321402
2011,"West Melbourne (Residential)",1541.658031848,17.9094757725646,4.93344697592926,1554.63406064464
2020,"West Melbourne (Residential)",3127.335605064,28.4784008414429,4.93344697592926,3150.88055892951
2021,"West Melbourne (Residential)",3145.056440328,29.6187794786318,4.93344697592926,3169.7417728307
